PET_T1ToD,Anxious_Temperament_Time1ToD_clust_pos_1,Anxious_Temperament_Time1ToD_clust_pos_2,Anxious_Temperament_Time1ToD_clust_pos_3,Anxious_Temperament_Time1ToD_clust_pos_4,Anxious_Temperament_Time1ToD_clust_pos_5,Anxious_Temperament_Time1ToD_clust_pos_6,Anxious_Temperament_Time1ToD_clust_pos_7,Anxious_Temperament_Time1ToD_clust_pos_8,Anxious_Temperament_Time1ToD_clust_pos_9,Anxious_Temperament_Time1ToD_clust_pos_10,Anxious_Temperament_Time1ToD_clust_pos_11,Anxious_Temperament_Time1ToD_clust_pos_12,Anxious_Temperament_Time1ToD_clust_pos_13,Anxious_Temperament_Time1ToD_clust_pos_14,Anxious_Temperament_Time1ToD_clust_pos_15,Anxious_Temperament_Time1ToD_clust_pos_16,Anxious_Temperament_Time1ToD_clust_pos_17,Anxious_Temperament_Time1ToD_clust_pos_18,Anxious_Temperament_Time1ToD_clust_pos_19,Anxious_Temperament_Time1ToD_clust_pos_20,Anxious_Temperament_Time1ToD_clust_pos_21,Anxious_Temperament_Time1ToD_clust_pos_22,Anxious_Temperament_Time1ToD_clust_pos_23,Anxious_Temperament_Time1ToD_clust_pos_24,Anxious_Temperament_Time1ToD_clust_pos_25,Anxious_Temperament_Time1ToD_clust_pos_26,Anxious_Temperament_Time1ToD_clust_pos_27,Anxious_Temperament_Time1ToD_clust_pos_28,Anxious_Temperament_Time1ToD_clust_pos_29,Anxious_Temperament_Time1ToD_clust_pos_30,Anxious_Temperament_Time1ToD_clust_pos_31,Anxious_Temperament_Time1ToD_clust_pos_32,Anxious_Temperament_Time1ToD_clust_pos_33,Anxious_Temperament_Time1ToD_clust_pos_34,Anxious_Temperament_Time1ToD_clust_pos_35,Anxious_Temperament_Time1ToD_clust_pos_36,Anxious_Temperament_Time1ToD_clust_pos_37,Anxious_Temperament_Time1ToD_clust_pos_38,Anxious_Temperament_Time1ToD_clust_pos_39,Anxious_Temperament_Time1ToD_clust_pos_40,Anxious_Temperament_Time1ToD_clust_pos_41,Anxious_Temperament_Time1ToD_clust_pos_42,Anxious_Temperament_Time1ToD_clust_pos_43,Anxious_Temperament_Time1ToD_clust_pos_44,Anxious_Temperament_Time1ToD_clust_pos_45,Anxious_Temperament_Time1ToD_clust_pos_46,Anxious_Temperament_Time1ToD_clust_neg_1,Anxious_Temperament_Time1ToD_clust_neg_2,Anxious_Temperament_Time1ToD_clust_neg_3,Anxious_Temperament_Time1ToD_clust_neg_4,Anxious_Temperament_Time1ToD_clust_neg_5,Anxious_Temperament_Time1ToD_clust_neg_6,Anxious_Temperament_Time1ToD_clust_neg_7,Anxious_Temperament_Time1ToD_clust_neg_8,Anxious_Temperament_Time1ToD_clust_neg_9,Anxious_Temperament_Time1ToD_clust_neg_10,Anxious_Temperament_Time1ToD_clust_neg_11,Anxious_Temperament_Time1ToD_clust_neg_12,Anxious_Temperament_Time1ToD_clust_neg_13,Anxious_Temperament_Time1ToD_clust_neg_14,Anxious_Temperament_Time1ToD_clust_neg_15
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_120_408_avg_blur2.nii,5.3105,5.6352,5.2518,5.2456,4.6208,5.732,4.926,4.9046,4.3675,5.43,4.8718,5.0513,4.727,4.9316,4.3677,4.1081,4.9518,5.1958,5.1045,4.6125,4.3469,4.6763,4.1001,4.5989,4.9084,5.5998,5.0182,6.097,4.0578,4.825,4.3956,4.673,4.7436,5.1242,5.4276,4.417,4.0393,5.2252,4.2853,5.9298,5.3803,5.5753,4.3713,5.2014,4.7997,4.7143,5.4281,4.5497,4.9007,5.6692,4.5872,5.4515,3.9628,4.7765,5.2138,5.3559,6.147,5.4189,5.0874,4.8807,3.4607
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_141_368_avg_blur2.nii,5.3373,5.7404,5.2554,5.2661,4.3006,6.0465,4.9886,4.911,4.2414,5.4127,4.6813,4.9083,4.8485,4.8889,4.1069,3.8528,4.7137,5.3537,4.8875,4.1935,4.1786,4.6455,3.9495,4.5085,4.6868,5.6733,4.9344,6.6966,3.7941,4.5868,4.3358,4.7458,4.4303,4.7529,5.2587,4.3435,3.9965,5.4645,3.8352,6.3054,4.9952,5.5706,4.5325,4.8892,4.6639,4.9227,5.5895,4.7172,4.6409,5.5789,4.5875,5.4264,3.6942,4.5517,5.2941,5.3895,6.3895,5.1144,4.8937,4.7324,3.1722
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_156_369_avg_blur2.nii,5.2158,5.6384,5.2249,5.3032,4.3476,5.9411,4.9764,4.9112,4.308,5.4318,4.7915,4.9749,4.984,4.799,4.5431,3.9887,4.7181,5.4233,5.1317,4.4629,4.2257,4.9059,3.9584,4.6656,4.8126,5.5252,4.9538,6.3037,4.2561,4.8743,4.166,4.5648,4.4867,4.9924,5.4072,4.6203,3.9898,5.5855,4.109,6.3613,5.2155,5.4606,4.0938,5.027,4.6402,4.6187,5.4871,4.6107,4.8031,5.4189,4.5067,5.2225,3.6441,4.5235,5.1596,5.343,6.1917,5.3088,5.3145,4.6435,2.9325
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_157_358_avg_blur2.nii,5.3265,5.7291,5.3876,5.1274,4.4143,5.928,4.8091,5.0028,4.4064,5.2768,4.6682,4.8685,4.7664,4.9957,4.6238,4.1263,4.6002,5.1458,5.0359,4.3128,4.4433,4.996,4.29,4.6706,4.8487,5.3957,4.8947,6.3562,4.3075,4.7053,4.4893,4.4086,4.492,4.9807,5.0868,4.5007,4.1746,5.2585,4.2821,6.0125,5.3952,5.6815,4.2271,4.933,4.7126,4.5614,5.4225,4.6121,4.7824,5.2207,4.4738,5.3045,4.2103,4.7673,5.3278,5.4648,6.2601,5.5684,5.1288,4.5919,3.6184
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_159_364_avg_blur2.nii,5.4155,5.6891,5.3491,5.4025,4.495,5.7719,5.0637,5.2382,4.7761,5.5107,5.1358,5.1299,4.8911,4.8663,4.638,4.1051,4.9158,5.3993,5.2383,4.5252,4.3994,4.9494,4.4562,4.9742,4.8601,5.7298,5.122,6.3185,4.2347,4.9094,4.3545,4.7281,4.627,4.9398,5.6259,4.8048,4.1066,5.2808,4.0616,6.2563,5.3103,5.5373,4.6688,4.9628,5.1063,4.9108,5.3108,4.5195,4.6982,5.5387,4.6405,5.1034,3.7613,4.2876,5.1165,5.0045,5.9207,5.1511,4.8103,4.5593,3.2367
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_166_386_avg_blur2.nii,5.4251,5.8043,5.3513,5.1153,4.5098,5.8736,4.9755,5.1117,4.36,5.2794,4.9858,4.9851,5.0206,4.8031,4.4306,3.7458,4.7814,5.2222,5.045,4.3141,4.1708,5.0049,3.998,4.6959,4.9038,5.584,5.0012,6.5963,4.2938,4.8279,4.3084,4.5599,4.3426,5.067,5.2561,4.5535,4.0546,5.4989,3.9413,6.0563,5.0372,5.9835,4.3368,5.1223,5.0082,4.9896,5.3729,4.4835,4.8059,5.5466,4.5009,5.3382,4.0217,4.5033,5.3166,5.5867,6.0201,5.1509,4.85,4.5155,3.4165
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_174_388_avg_blur2.nii,5.3311,5.577,5.2442,5.2783,4.6798,5.7592,5.0933,4.9105,4.4195,5.552,5.2327,5.1855,5.197,4.8592,4.4727,4.2806,5.0845,5.5311,4.8684,4.6557,4.508,4.8294,4.3716,4.7551,4.9292,5.5882,5.1759,6.0963,4.3674,5.1303,4.3731,4.7497,5.0148,4.9784,5.2235,4.5476,4.3728,5.4794,4.381,6.0166,4.841,5.7635,4.469,5.003,4.5902,4.9591,5.4706,4.7062,4.8909,5.4606,4.8187,5.137,4.0335,4.2741,5.0853,5.1,6.3429,5.3363,5.2072,4.9482,3.5422
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_179_392_avg_blur2.nii,5.532,5.842,5.5372,5.2017,4.4811,5.82,5.1037,5.0252,4.5088,5.4182,4.9526,5.056,4.8589,5.0079,4.4688,4.076,4.8221,5.3676,5.0372,4.6033,4.3749,5.0081,4.0855,4.7528,5.1016,5.7927,5.0088,6.3461,4.0546,4.9447,4.4324,4.5397,4.621,5.3223,5.4048,4.5805,4.299,5.5659,4.2625,6.1699,5.4287,5.5517,4.6053,5.2152,4.6976,4.7612,5.3033,4.5016,4.5845,5.664,4.3859,5.3298,3.6601,4.5473,5.4279,5.3676,5.8403,5.1319,4.8592,4.6416,3.2712
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_179_412_avg_blur2.nii,5.4214,5.7315,5.4149,5.2753,4.718,5.8577,5.2483,5.3301,4.7734,5.4045,5.0143,5.0736,5.2886,5.0393,4.5487,4.2554,4.9223,5.5433,5.2044,4.6373,4.7026,5.0308,4.4457,4.9599,4.9502,5.6788,5.0615,6.4203,4.3374,4.8521,4.4613,4.8589,4.7463,5.1762,5.6617,4.5766,4.3574,5.6459,4.1712,6.1142,5.3386,5.4362,4.7703,4.9943,5.1797,5.1021,5.2082,4.3486,4.6254,5.2948,4.4681,5.1312,3.6333,4.2914,5.2052,5.0761,5.6177,4.9595,4.8747,4.4139,3.1261
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_193_362_avg_blur2.nii,5.334,5.8325,5.2793,5.1384,4.4777,5.8016,4.8853,4.9491,4.3524,5.3023,4.9271,5.0168,4.9345,4.9411,4.4814,4.1202,4.9162,5.0675,5.2788,4.446,4.4605,5.1064,4.3503,4.8261,4.9792,5.5,4.8938,6.1896,4.4124,4.9613,4.4119,4.6832,4.7264,5.0254,5.2769,4.356,4.2979,5.3586,4.2597,5.9602,5.0827,5.7043,4.6522,4.9386,4.6268,4.6674,5.2803,4.6573,4.7304,5.6476,4.6296,5.3972,3.8631,4.4804,5.2563,5.4192,5.9903,5.1402,4.7856,4.5671,3.3309
