RNA_Sample,USC ID ,stress_Group,isNORS,age_ToD,Sex_x,Freezing_duration_Time1,Cooing_frequency_Time1,Cortisol_levels_Time1,Anxious_Temperament_Time1,Freezing_T1,Cooing_T1,Cortisol_T1,AT_T2,AT_T3,Cooing_T2,Cooing_T2_resid,Cooing_T3,Cooing_T3_resid,Cortisol_T2,Cortisol_T2_resid,Cortisol_T3,Cortisol_T3_resid,Freezing_T2,Freezing_T2_resid,Freezing_T3,Freezing_T3_resid,age_T2,age_T3,Freezing_duration_Time2,Cooing_frequency_Time2,Cortisol_levels_Time2,Anxious_Temperament_Time2,Anxious_Temperament_Time1Time2_mean,AT_mean_orig,AT_mean_T1T2
1,25,0,1,3.931506849,M,0.953173347,-0.759501138,-0.064037357,0.549545709,3.922962946,0,66.21,0.266143016,,0,-0.00881273,,,58.34,0.416428298,,,4.616439778,0.373188019,,,3.98,,0.897789292,-0.154194144,0.363442067,0.471808501,0.510677105,,0.407844362
2,26,0,1,2.104109589,M,-0.81196136,1.411335329,-0.53335853,-0.918885073,1.047318994,6.831300511,70.35,-0.193215923,,4.062019202,0.925991269,,,62.27,0.772165922,,,2.888518189,-0.42582242,,,2.12,,0.191313408,0.579542475,0.160460147,-0.075922973,-0.497404023,,-0.556050498
3,27,0,1,2.210958904,M,1.20520833,-1.111454701,-0.694139045,0.540841329,4.126327608,0,96.23,0.206325752,,0,-0.820701982,,,52.23,-0.67748826,,,3.936715618,0.475763532,,,2.23,,0.794502273,-0.975857713,-0.614131191,0.385409598,0.463125463,,0.37358354
4,28,0,1,3.191780822,M,-0.995547059,0.815908772,-1.252126853,-1.021194228,0.810930216,4.915960401,53.8,-0.948682938,,3.16227766,1.042762752,,,50.64,-0.679292594,,,2.618611639,-1.123993467,,,3.23,,-0.159208251,0.744749195,-0.773344466,-0.559100638,-0.790147433,,-0.984938583
5,29,0,1,2.271232877,M,0.502337883,-1.08898958,0.430532496,0.67395332,3.050851573,0,64.8,0.0085072,,0,-0.792865779,,,48.13,-1.233688544,,,3.953484795,0.466344364,,,2.29,,0.794164965,-0.94768639,-1.01946246,0.240796298,0.457374809,,0.34123026
6,30,0,1,2.720547945,M,-0.00874579,0.725108556,-0.319642016,-0.351165454,2.295896105,4.881939505,59.55,-0.110546471,,1.224744871,-0.037420019,,,56.91,0.128365028,,,3.094823176,-0.497424461,,,2.75,,0.205710829,-0.247163166,-0.267987809,0.061628729,-0.144768363,,-0.230855963
7,31,0,1,2.769863014,M,0.323175525,-0.374415857,1.143549563,0.613713648,2.833213344,1.683250823,87.02,0.488904133,,0.912870929,-0.152249115,,,63.3,0.941311322,,,4.081484447,0.373151961,,,2.8,,0.782670071,-0.347073057,0.597181361,0.575641497,0.594677572,,0.55130889
8,32,0,1,2.142465753,M,-0.537658823,0.762871329,-1.428887829,-0.909805993,1.481604541,4.966554809,48.02,-1.779712023,,6.544717972,2.043315786,,,49.1,-1.041903451,,,0.88238918,-2.253916833,,,2.16,,-1.006081631,1.580547942,-1.15766288,-1.248097484,-1.078951739,,-1.344759008
9,33,0,1,1.783561644,M,-0.695247478,0.177537151,-0.746338969,-0.539707866,1.168345627,3.696845502,77.58,-0.690545052,,5.066228051,1.221963848,,,58.43,0.119298908,,,2.142025028,-0.968970218,,,1.8,,-0.196817918,0.826588333,-0.082656294,-0.368687515,-0.45419769,,-0.615126459
10,34,0,1,1.967123288,M,2.172223855,-1.081501207,-1.220906078,0.677606328,5.638236038,0,71.09,0.948886075,,0,-0.936686161,,,57.25,0.05714513,,,5.348218025,1.852826935,,,1.98,,1.67502798,-1.093238222,-0.37025215,0.799338018,0.738472173,,0.813246202
11,35,0,1,2.112328767,M,-1.263791145,1.481536981,0.200117794,-0.848403444,0.324496046,7.153087911,78,0.027862228,,3.188521078,0.544046905,,,70.15,1.795777767,,,2.071073292,-1.16814418,,,2.13,,-0.29551347,0.238657577,1.138681848,0.2015036,-0.323449922,,-0.410270608
